국왕직할령	Royal Territory
아크멘스 능선	Akmens Ridge
틸타스 협곡	Tiltas Valley
루카스 고원	Rukas Plateau
자카리엘 교차로	Zachariel Crossroad
비석로	Stele Road
에산치우 마을	Escanciu Village
페디미안 외곽	Fedimian Suburbs
필그림 들길	Pilgrim Path
제단로	Altary Way
기원의 숲	Forest of Prayer
압시메스티 교차로	Apsimesti Crossroad
우키스 경작지	Uskis Arable Land
빌나 숲	Vilna Forest
다이나 양봉단지	Bee Farm
베르크티 광장	Verkti Square
록소나 장터	Roxona Marketplace
대지의 요새 결전지	final battle field
이브레고원	Ibre Plateau
마당 고원big	Grand Yard Mesa
스벤티마스 유형지	Sventimas Exile
카듀멜 절벽	Kadume Cliff
칼레이마스 접견소	Kalejimas Visiting Room
보관실	Storage
독방구역	Solitary Cells
작업장	Workshop
심문실	Investstigation Room
그리나스 숲길	Grynas Trails
그리나스 수련장	Grynas Training Camp
그리나스 구릉지	Gryans Hills
