무르밀로 헬멧	Murmillo Helmet
포텐티아	Potentia
템서스 플랑베르쥬	Temsus Flamberge
디델 콜로서스	Didel Colossus
콜렉투르	Collectur
호그마 그레이트 소드	Hogma Great Sword
케미니스 바스타드 소드	Cheminis Bastard Sword
프리마루체	Primaluce
킨드잘	Kindzal
임페르니 투 핸드 소드	Imperni Two-Hand Sword
프리에블란다	Prieblanda
라피스 카츠발게르	Lapis Katzbalger
스미스 투 핸드 소드	Smith Two-Hand Sword
클라비스 투 핸드 소드	Klavis Two-Hand Sword
트레시 투 핸드 소드	Thresh Two-Hand Sword
세스타스 투 핸드 소드	Sestas Two-Hand Sword
드라트 투 핸드 소드	Drat Two-Hand Sword
아스턴 투 핸드 소드	Aston Two-Hand Sword
데비 투 핸드 소드	Debby Two-Hand Sword
프리마 투 핸드 소드	Prima Two-Hand Sword
플라미니	Flamini
위저드 슬레이어	Wizard Slayer
나크티스	Naktis
루시두스	Lucidus
헬 엔드 헤븐	Hell And Heaven
데스위버 투스	Deathweaver Tooth
채퍼리션 투 핸드 소드	Chapparition Two-Hand Sword
눌리스	Nullis
그래비티	Gravity
오래된 숏 로드	Old Short Rod
숏 로드	Short Rod
크루드 롱 로드	Crude Long Rod
크루드 케인 로버	Crude Cane Lowver
케인	Cane
크룩	Crook
퓨터 로드	Puter Rod
아울 로드	Owl Rod
룬 로드	Rune Rod
크리스탈 로드	Crystal Rod
오래된 퓨터 로드	Old Puter Rod
오래된 아울 로드	Old Owl Rod
병사의 숏 로드	Soldier's Short Rod
Mayor's 롱 로드	Mayor's Long Rod
오래된 케인 로버	Old Cane Lowver
배틀 로드	Battle Rod
슈페리어 숏 로드	Superior Short Rod
롱 로드	Iong Rod
슈페리어 롱 로드	Superior Long Rod
케인 로버	Low Cane Lowver
슈페리어 케인	Superior Cane
슈페리어 크룩	Superior Crook
슈페리어 퓨터 로드	Superior Puter Rod
던켈 크룩	Dunkel Crooke
던켈 크리스탈 로드	Dunkel Crystal Rod
던켈 롱 로드	Dunkel Long Rod
던켈 케인 로버	Dunkel Cane Lowver
던켈 케인	Dunkel Cane
던켈 퓨터 로드	Dunkel Puter Rod
스네이크 로드	Snake Rod
알터 로드	Alter Rod
엘더 로드	Elder Rod
미티어 로드	Meteor Rod
링 로드	Ring Rod
판토 로드	Panto Rod
아이스 로드	Ice Rod
파이어 로드	Fire Rod
바시아 로드	Basia Rod
매직 로드	Magic Rod
그리나스 로드	Grinas Rod
케미니스 로드	Cheminis Rod
아크 로드	Arch Rod
임페르니 로드	Imperni Rod
아라스의 롱 로드	Aras Long Rod
스미스 로드	Smith Rod
클라비스 로드	Klavis Rod
디오 로드	Dio Rod
트레시 로드	Thresh Rod
세스타스 로드	Sestas Rod
드라트 로드	Drat Rod
아스턴 로드	Aston Rod
데비 로드	Debby Rod
프리마 로드	Prima Rod
테메레	Temere
이그니션	Ignition
세크레툼	Secretum
데스위버 로드	Deathweaver Rod
채퍼리션 로드	Chapparition Rod
자이마	Zaima
에포스	Epos
오래된 라이트 보우	Old Light Bow
라이트 보우	Light Bow
크루드 숏 보우	Crude Short Bow
크루드 롱 보우	Crude Long Bow
컴포지트 보우	Composite Bow
셀프 보우	Self Bow
로카스 보우	Rokas Bow
고리토스	Goritos
굴라일	Gulyle
카만	Karman
오래된 로카스 보우	Old Rokas Bow
오래된 고리토스	Old Goritos
병사의 라이트 보우	Soldier's Light Bow
Mayor's 숏 보우	Mayor's Short Bow
오래된 롱 보우	Old Long Bow
겐다와	Gendawa
슈페리어 라이트 보우	Superior Light Bow
숏 보우	Short Bow
슈페리어 숏 보우	Superior Short Bow
롱 보우	Long Bow
슈페리어 컴포지트 보우	Superior Composite Bow
슈페리어 셀프 보우	Superior Self Bow
슈페리어 로카스 보우	Superior Rokas Bow
던켈 셀프 보우	Dunkel Self Bow
던켈 카만	Dunkel Karman
던켈 숏 보우	Dunkel Short Bow
던켈 롱 보우	Dunkel Long Bow
던켈 컴포지트 보우	Dunkel Composite Bow
던켈 로카스 보우	Dunkel Rokas Bow
Recurve 보우	Recurve Bow
스나이퍼 보우	Sniper Bow
스컬 보우	Skull Bow
우든 컴파운드 보우	Wooden Compound Bow
테그 보우	Teg Bow
로그 보우	Rogue Bow
시커	Seeker
아이언 보우	Iron Bow
호크 보우	Hawk Bow
케미니스 보우	Cheminis Bow
헌팅 보우	Hunting Bow
메이커 보우	Maker Bow
새비지 보우	Savage Bow
스네이크 보우	Snake Bow
임페르니 보우	Imperni Bow
레테나 보우	Retena Bow
스트롱 보우	Strong Bow
아라스의 숏 보우	Aras Short Bow
퓰리 보우	Pully Bow
스미스 보우	Smith Bow
클라비스 보우	Klavis Bow
디오 보우	Dio Bow
트레시 보우	Thresh Bow
세스타스 보우	Sestas Bow
드라트 보우	Drat Bow
아스턴 보우	Aston Bow
데비 보우	Debby Bow
프리마 보우	Prima Bow
와이들링 베인	Widling Bane
이퀄라이저	Equalizer
하트 시커	Heart Seeker
바이퍼	Viper
데스위버 보우	Deathweaver Bow
채퍼리션 보우	Chapparition Bow
블러드 게인	Blood Gand
템페스트 슈터	Tempest Shooter
크루드 라이트 크로스보우	Crude Light Crossbow
크루드 크로스보우	Crude Crossbow
도큐	Dokyu
쿼렐보우	Quarrel Bow
오크 크로스보우	Oak Crossbow
씰 크로스보우	Seal Crossbow
캐타펄트	Catapult
크래인퀸	Cranequine
오래된 오크 크로스보우	Old Oak Crossbow
오래된 씰 크로스보우	Old Seal Crossbow
스나이퍼 크로스보우	Sniper Crossbow
라이트 크로스보우	Light Crossbow
슈페리어 라이트 크로스보우	Superior Light Crossbow
크로스보우	Crossbow
슈페리어 도큐	Superior Dokyu
슈페리어 쿼렐보우	Superior Quarrel Bow
슈페리어 오크 크로스보우	Superior Oak Crossbow
던켈 쿼렐보우	Dunkel Quarrel Bow
던켈 크래인퀸	Dunkel Cranequine
던켈 크로스보우	Dunkel Crossbow
던켈 도큐	Dunkel Dokyu
던켈 오크 크로스보우	Dunkel Oak Crossbow
아바레스트	Avarest
페디미안 터렛	Fedimian Turret
스나이퍼 크로스보우	Sniper Crossbow
스파이크 크로스보우	Spike Crossbow
슈페리어 크로스보우	Superior Crossbow
와이드 크로스보우	Wide Crossbow
그랜드 크로스	Grand Crossbow
케미니스 크로스보우	Cheminis Crossbow
메디나 크로스보우	Medina Crossbow
레지나 크로스보우	Regina Crossbow
체이서	Chaser
임페르니 크로스보우	Imperni Crossbow
그레이브 크로스보우	Grave Crossbow
스미스 크로스보우	Smith Crossbow
클라비스 크로스보우	Klavis Crossbow
트레시 크로스보우	Thresh Crossbow
세스타스 크로스보우	Sestas Crossbow
드라트 크로스보우	Drat Crossbow
아스턴 크로스보우	Aston Crossbow
데비 크로스보우	Debby Crossbow
프리마 크로스보우	Prima Crossbow
슈팅스타	Shooting Star
카틴 블라스터	Katyne Blaster
그라주스	Grajus
데스위버 크로스보우	Deathweaver Crossbow
채퍼리션 슈터	Chapparition Shooter
이스발리티	Isbality
모르토	Morto
오래된 우든 클럽	Old Wooden Club
우든 클럽	Wooden Club
던켈 아이언 클럽	Dunkel Iron Club
크루드 메이스	Crude Mace
모닝스타	Morning Star
고덴닥	Goedendag
워픽	Warpick
마울	Maul
오래된 고덴닥	Old Goedendag
오래된 워픽	Old Warpick
Mayor's 아이언 클럽	Mayor's Iron Club
오래된 메이스	Old Mace
슈페리어 우든 클럽	Superior Wooden Club
아이언 클럽	Iron Club
슈페리어 아이언 클럽	Superior Iron Club
메이스	Mace
슈페리어 모닝스타	Superior Morning Star
슈페리어 마울	Superior Maul
슈페리어 고덴닥	Superior Godendag
던켈 마울	Dunkel 마울
던켈 배틀 해머	Dunkel Battle Hammer
던켈 메이스	Dunkel Mace
던켈 모닝스타	Dunkel Morning Star
던켈 고덴닥	Dunkel Godendag
페디미안 클럽	Fedimian Club
룬 메이스	Rune Mace
스파이크 클럽	Spike Club
스티루스 해머	Stirus Hammer
워 해머	Warhammer
슬래지 해머	Sledgehammer
파이브 해머	Fifth Hammer
스파이크 메이스	Spiked Mace
실드 브레이커	Shield Breaker
스컬 크래셔	Skull Crasher
케미니스 마울	Chemenis Maul
마우로스 클럽	Mauros Club
발타스 모닝스타	Baltas Morning Star
임페르니 메이스	Imperni Mace
선쿠스 마울	Sunkus Maul
마이너 해머	Miner Hammer
아라스의 아이언 클럽	Aras Iron Club
스미스 메이스	Smith Mace
클라비스 메이스	Klavis Mace
디오 메이스	Dio Mace
트레시 메이스	Thresh Mace
세스타스 메이스	Sestas Mace
드라트 메이스	Drat Mace
아스턴 메이스	Aston Mace
데비 메이스	Debby Mace
프리마 메이스	Prima Mace
홀리 스매셔	Holy Smasher
칼루 해머	Kaloo Hammer
드레이크 테일	Drake Tail
로얄 메이스	Royal Mace
부베 모닝스타	Vubbe Morningstar
데스위버 클럽	Deathweaver Club
채퍼리션 메이스	Chapparition Mace
스터너	Stunner
발리아	Valia
우든 실드	Wooden Shield
우든 버클러	Wooden Buckler
우든 카이트 실드	Wooden Kite Shield
카이트 실드	Kite Shield
라운드 실드	Round Shield
스틸 카이트 실드	Steel Kite Shield
스틸 버클러	Steel Buckler
머시너리 실드	Mercenary Shield
오래된 우든 버클러	Old Wooden Buckler
오래된 우든 카이트 실드	Old Wooden Kite Shield
던켈 우든 실드	Dunkel Wooden Shield
던켈 우든 버클러	Dunkel Wooden Buckler
스캘럽 실드	Scallop Shield
펠타 실드	Pelta Shield
페디미안 실드	Fedimian Shield
나이트 실드	Knight Shield
타워 실드	Tower Shield
로얄 실드	Royal Shield
블랙 우든 실드	Black Wooden Shield
오크 실드	Oak Shield
새비지 실드	Savage Shield
잘리아 카이트 실드	Zalia Kite Shield
슈페리어 카이트 실드	Superior Kite Shield
비드 실드	Bead Shield
서클 가드	Circle Guard
루다스 실드	Rudas Shield
미노타우르스 실드	Minotaurs Shield
디오 실드	Dio Shield
트레시 실드	Thresh Shield
세스타스 실드	Sestas Shield
드라트 실드	Drat Shield
아스턴 실드	Aston Shield
데비 실드	Debby Shield
프리마 실드	Prima Shield
엠퍼러 실드	Emperor Shield
월 가드	Wall Guard
포트리스	Fortrees
비틀백	Beetleback
세이지 월	Sage Wall
아이아스	Aias
숏 스피어	Short Spear
에스폰툰	Dspontoon
윙드 에스폰툰	Winged Espontoon
스폰툰	Spontoon
아스타	Hasta
롱 아스타	Long Hasta
슈페리어 숏 스피어	Superior Short Spear
슈페리어 에스폰툰	Superior Aspontoon
던켈 숏 스피어	Dunkel Short Spear
던켈 에스폰툰	Dunkel Espontoon
던켈 아스타	Dunkel Hasta
윙드 스피어	Winged Spear
사우로터	Sauroter
도리	Dori
아세가이	Assegai
케미니스 스피어	Cheminis Spear
그랑 스폰톤	Grand Spontoon
제가 스피어	Zega Spear
할 스피어	Harl Spear
체이서	Chaser
임페르니 스피어	Imperni Spear
페디미안 스피어	Fedimian Spear
드라트 스피어	Drat Spear
아스턴 스피어	Aston Spear
데비 스피어	Debby Spear
프리마 스피어	Prima Spear
실버 스피어	Silver Spear
게라스 스피어	Geras Spear
둠 스피어	Doom Spear
피르나스	Firnas
아다타그	Adatag
스팅어	Stinger
브란디시	Brandish
파이크	Pike
파르티잔	Partisan
트라이던트	Trident
로얄 파르티잔	Royal Partisan
페디미안 파이크	Fedimian Pike
던켈 파이크	Dunkel Pike
로얄 트라이던트	Royal 트라이던트
로얄 배틀포크	Royal 배틀포크
메디나 파이크	Medina Pike
프리 파르티잔	Pri Partisan
케미니스 파이크	Cheminis Pike
앤트라 파르티잔	Entra Partisan
갈린 트라이던트	Galin Trident
임페르니 파이크	Imperin Pike
파인 콘 파이크	Pine Cone Pike
그레이트 파이크	Great Pike
데비 파이크	Debby Pike
프리마 파이크	Prima Pike
트렉시아	Tracksia
비테레지나 쏜즈	Biteregina Thorns
라이데카	Laideka
플레임 파이크	Flame Pike
트리톤	Triton
우든 완드	Wooden Wand
오크 완드	Oak Wand
로카스 완드	Rokas Wand
알타리아 완드	Altaria Wand
안티크 완드	Antique Wand
다크 완드	Dark Wand
그림 완드	Frim Wand
스컬 완드	Skull Wand
디델 샤먼 완드	Didel Shaman Wand
파티망 완드	Fatima Wand
램파 완드	Rampa Wand
크루드 우든 스태프	Crude Wooden Staff
크루드 오크 스태프	Crude Oak Staff
스태프	Staff
쥬 스태프	Jus Staff
우보코 스태프	Uboko Staff
스태그 스태프	Stag Staff
지오매트리 스태프	Geometry Staff
데몬 스태프	Demon Staff
스톰 스태프	Storm Staff
우든 스태프	Wooden Staff
슈페리어 우든 스태프	Superior Wooden Staff
오크 스태프	Oak Staff
슈페리어 스태프	Superior Staff
슈페리어 우보코 스태프	Superior Uboko Staff
던켈 쥬 스태프	Dunkel Jus Staff
던켈 데몬 스태프	Dunkel Demon Staff
던켈 우든 스태프	Dunkel Wooden Staff
던켈 오크 스태프	Dunkel Oak Staff
던켈 스태프	Dunkel Staff
던켈 우보코 스태프	Dunkel Uboko Staff
스틸 스태프	Steel Staff
슈페리어 스틸 스태프	Superior Steel Staff
스퀘어 스태프	Square Staff
슈페리어 스퀘어 스태프	Superior Square Staff
메이지 스태프	Mage Staff
아크 메이지 스태프	Arch Mage Staff
아크 데몬 스태프	Arch Demon Staff
멜리나스 스태프	Melinas Staff
마기 스태프	Magi Staff
루다스 스태프	Rudas Staff
살타스 스태프	Saltas Staff
케미니스 스태프	Cheminis Staff
카르스토 스태프	Karsto Staff
엑스펙타 스태프	Expecta Staff
임페르니 스태프	Imperni Staff
웰시 스태프	Wealthy Staff
매직 우든 스태프	Magic Wooden Staff
스미스 스태프	Smith Rod
클라비스 스태프	Klavis Rod
디오 스태프	Dio Staff
트레시 스태프	Thresh Staff
세스타스 스태프	Sestas Staff
드라트 스태프	Drat Staff
아스턴 스태프	Aston Staff
데비 스태프	Debby Staff
프리마 스태프	Prima Staff
캔들 스태프	Candle Staff
아우드라	Audra
선플라워	Sunflower
말레딕	Maledic
말레둠	Maledoom
채퍼리션 스태프	Deathweaver Staff
아르카 스태프	Arka Staff
라가노스 혼	Raganos Staff
라이트 글로브	Light Gloves
퀼트 글로브	Guilt Gloves
레더 글로브	Leather Gloves
하드 레더 글로브	Hard Leather Gloves
체인 글로브	Chain Gloves
마크 글로브	Mark Gloves
포레스트 레더 글로브	Forest Leather Gloves
베리스 글로브	Veris Gloves
스케일 글로브	Scale Gloves
클라이다 건틀릿	Klaida Gauntlets
하드 베리스 글로브	Hard Veris Gloves
슈페리어 스케일 글로브	Superior Scale Gloves
마이너 글로브	Minor Gloves
오래된 하드 레더 글로브	Old Hard Leather Gloves
오래된 체인 글로브	Old Chain Gloves
오래된 스틸 체인 글로브	Old Steel Chain Gloves
브리간딘 글로브	Brigandine Gloves
플레이트 건틀릿	Plate Gauntlets
어콜라이트 글로브	Acolytes Gloves
스틸 체인 글로브	Steel Chain Gloves
던켈 퀼트 글로브	Dunkel Quilt Gloves
던켈 코튼 글로브	Dunkel Cotton Gloves
던켈 하드 레더 글로브	Dunkel Hard Leather Gloves
던켈 링 글로브	Dunkel Ring Gloves
던켈 코튼 글로브	Dunkel Cotton Gloves
링 글로브	Ring Gloves
슈페리어 리갈 글로브	Superior Regal Gloves
슈페리어 브리간딘 글로브	Superior Brigandine Gloves
풀 플레이트 건틀릿	Full Plate Gauntlets
페디미안 글로브	Fedimian Gloves
페디미안 레더 글로브	Fedimian Leather Gloves
페디미안 건틀릿	Fedimian Gauntlets
메지션 글로브	Magician Gloves
헌팅 글로브	Hunting Gloves
가드 건틀릿	Guard Gauntlets
메이지 글로브	Mage Gloves
스커미셔 글로브	Skirmisher Gloves
인펀트리 건틀릿	Infantry Gauntlets
아크 메이지 글로브	Ark Mage Gloves
슈페리어 스커미셔 글로브	Superior Skirmisher Gloves
슈페리어 인펀트리 건틀릿	Superior Infantry Gauntlets
라이브러리안 글로브	Librarian Gloves
베테랑 글로브	Veteran Gloves
나이트 건틀릿	Knight Gauntlets
카펜터 글로브	Carpenter Gloves
잘리아 레더 글로브	Zalia Leather Gloves
프로바 글로브	Proba Gloves
스터디드 글로브	Studded Gloves
인섹트 건틀릿	Insect Gauntlets
레드 베리스 글로브	Red Veris Gloves
슈페리어 그리마 글로브	Superior Grima Gloves
드레이크 레더 글로브	Drake Leather Gloves
실버 플레이트 건틀릿	Silver Plate Gauntlets
와일드 레더 글로브	Wild Leather Gloves
슈페리어 부츠	Superior Boots
카프리아 글로브	Capria Gloves
아콘 핸즈	Archon Hands
네펜더스 글로브	Nepenthes Gloves
카프리선 글로브	Cafrisun Gloves
디오 글로브	Dio Gloves
디오 레더 글로브	Dio Leather Gloves
디오 체인 건틀릿	Dio Chain Gauntlets
트레시 글로브	Thresh Gloves
트레시 레더 글로브	Thresh Leather Gloves
트레시 체인 글로브	Thresh Chain Gloves
세스타스 글로브	Sestas Gloves
세스타스 레더 글로브	Sestas Leather Gloves
세스타스 체인 글로브	Sestas Chain Gloves
드라트 글로브	Drat Gloves
드라트 레더 글로브	Drat Leather Gloves
드라트 건틀릿	Drat Gauntlets
아스턴 글로브	Aston Gloves
아스턴 레더 글로브	Aston Leather Gloves
아스턴 건틀릿	Aston Gauntlets
데비 글로브	Debby Gloves
데비 레더 글로브	Debby Leather Gloves
데비 건틀릿	Debby Gauntlets
프리마 글로브	Prima Gloves
프리마 레더 글로브	Prima Leather Gloves
프리마 건틀릿	Prima Gauntlets
툼 글로브	Tomb Gloves
툼 레더 글로브	Tomb Leather Gloves
툼 건틀릿	Tomb Gauntlets
부베 투사 건틀릿	Vubbe Warrior Gauntlets
실드 크래셔	Shield Crasher
바인 글로브	Vine Gloves
소울 체이서 글로브	Soul Chaser Gloves
본 건틀릿	Bone Gauntlets
쉐이드 핸즈	Shade Hands
라이트 부츠	Light Boots
퀼트 부츠	Guilt Boots
레더 부츠	Leather Boots
하드 레더 부츠	Hard Leather Boots
체인 부츠	Chain Boots
마크 부츠	Mark Boots
포레스트 레더 부츠	Forest Leather Boots
베리스 부츠	Veris Boots
스케일 부츠	Scale Boots
클라이다 그리브	Klaida Greaves
하드 베리스 부츠	Hard Veris Boots
슈페리어 스케일 부츠	Superior Scale Boots
마이너 부츠	Minor Boots
오래된 하드 레더 부츠	Old Hard Leather Boots
오래된 체인 부츠	Old Chain Boots
오래된 스틸 체인 부츠	Old Steel Chain Boots
브리간딘 부츠	Brigandine Boots
플레이트 그리브	Plate Greaves
어콜라이트 부츠	Acolytes Boots
스틸 체인 부츠	Steel Chain Boots
던켈 퀼트 부츠	Dunkel Quilt Boots
던켈 코튼 부츠	Dunkel Cotton Boots
던켈 하드 레더 부츠	Dunkel Hard Leather Boots
던켈 링 부츠	Dunkel Ring Boots
던켈 코튼 부츠	Dunkel Cotton Boots
링 부츠	Ring Boots
슈페리어 리갈 부츠	Superior Regal Boots
슈페리어 브리간딘 부츠	Superior Brigandine Boots
풀 플레이트 그리브	Full Plate Greaves
페디미안 부츠	Fedimian Boots
페디미안 레더 부츠	Fedimian Leather Boots
페디미안 그리브	Fedimian Greaves
메지션 부츠	Magician Boots
헌팅 부츠	Hunting Boots
가드 그리브	Guard Greaves
메이지 부츠	Mage Boots
스커미셔 부츠	Skirmisher Boots
인펀트리 그리브	Infantry Greaves
아크 메이지 부츠	Ark Mage Boots
슈페리어 스커미셔 부츠	Superior Skirmisher Boots
슈페리어 인펀트리 그리브	Superior Infantry Greaves
라이브러리안 부츠	Librarian Boots
베테랑 부츠	Veteran Boots
나이트 그리브	Knight Greaves
카브라 부츠	Kabra Boots
잘리아 레더 부츠	Zalia Leather Boots
스터디드 부츠	Studded Boots
인섹트 그리브	Insect Greaves
프로타스 부츠	Protas Boots
슈페리어 그리마 부츠	Superior Grima Boots
드레이크 레더 부츠	Drake Leather Boots
실버 플레이트 그리브	Silver Plate Greaves
베조 부츠	Vejo Boots
미엔 부츠	Mien Boots
라바인피드 부츠	Ravinepede Boots
쉬나임 그리브	Shnayim Greaves
카프리선 부츠	Cafrisun Boots
디오 샌들	Dio Sandals
디오 레더 부츠	Dio Leather Boots
디오 체인 부츠	Dio Chain Boots
트레시 샌들	Thresh Sandals
트레시 레더 부츠	Thresh Leather Boots
트레시 체인 부츠	Thresh Chain Boots
세스타스 샌들	Sestas Sandals
세스타스 레더 부츠	Sestas Leather Boots
세스타스 체인 부츠	Sestas Chain Boots
드라트 샌들	Drat Sandals
드라트 레더 부츠	Drat Leather Boots
드라트 그리브	Drat Greaves
아스턴 샌들	Aston Sandals
아스턴 레더 부츠	Aston Leather Boots
아스턴 그리브	Aston Greaves
데비 샌들	Debby Sandals
데비 레더 부츠	Debby Leather Boots
데비 그리브	Debby Greaves
프리마 샌들	Prima Sandals
프리마 레더 부츠	Prima Leather Boots
프리마 그리브	Prima Greaves
워커	Walker
리에나 팬츠	Riena Pants
리에나 레더 팬츠	Riena Leather Pants
리에나 플레이트 레깅스	Riena Plate Leggings
바인 부츠	Vine Boots
소울 체이서 부츠	Soul Chaser Boots
본 그리브	Bone Greaves
쉐이드 러너	Shade Runner
윈드 러너	Wind Runner
라이트 팬츠	Light Pants
퀼트 팬츠	Guilt Pants
레더 팬츠	Leather Pants
하드 레더 팬츠	Hard Leather Pants
체인 팬츠	Chain Pants
마크 팬츠	Mark Pants
포레스트 레더 팬츠	Forest Leather Pants
그리마 팬츠	Grima Pants
베리스 팬츠	Veris Pants
스케일 레깅스	Scale Leggings
포레스트 팬츠	Forest Pants
클라이다 스커트	Klaida Skirt
하드 베리스 팬츠	Hard Veris Pants
슈페리어 스케일 레깅스	Superior Scale Leggings
리갈 팬츠	Rigal Pants
래그 팬츠	Rag Pants
마이너 팬츠	Minor Pants
오래된 하드 레더 팬츠	Old Hard Leather Pants
오래된 체인 팬츠	Old Chain Pants
오래된 스틸 체인 팬츠	Old Steel Chain Pants
브리간딘 팬츠	Bigandine Pants
플레이트 레깅스	Plate Leggings
슈페리어 퀼트 팬츠	Superior Quilt Pants
부베 팬츠	Vubbe Pants
판토 팬츠	Panto Pants
어콜라이트 팬츠	Acolytes Pants
스틸 체인 팬츠	Steel Chain Pants
던켈 퀼트 팬츠	Dunkel Quilt Pants
던켈 코튼 팬츠	Dunkel Cotton Pants
던켈 하드 레더 팬츠	Dunkel Hard Leather Pants
던켈 링 팬츠	Dunkel Ring Pants
던켈 코튼 팬츠	Dunkel Cotton Pants
링 팬츠	Ring Pants
슈페리어 리갈 팬츠	Superior Regal Pants
슈페리어 브리간딘 팬츠	Superior Brigandine Pants
풀 플레이트 레깅스	Full Plate Leggings
페디미안 팬츠	Fedimian Pants
페디미안 레더 팬츠	Fedimian Leather Pants
페디미안 레깅스	Fedimian Leggings
메지션 팬츠	Magician Pants
헌팅 팬츠	Hunting Pants
가드 레깅스	Guard Leggings
메이지 팬츠	Mage Pants
스커미셔 팬츠	Skirmisher Pants
인펀트리 레깅스	Infantry Leggings
아크 메이지 팬츠	Ark Mage Pants
슈페리어 스커미셔 팬츠	Superior Skirmisher Pants
슈페리어 인펀트리 레깅스	Superior Infantry Leggings
라이브러리안 팬츠	Librarian Pants
베테랑 팬츠	Veteran Pants
나이트 레깅스	Knight Leggings
테넷 체인 팬츠	Tenet Chain Pants
잘리아 레더 팬츠	Zalia Leather Pants
스터디드 팬츠	Studded Pants
인섹트 스커트	Insect Skirt
프로타스 트라우저	Protas Trousers
라이트 플레이트 레깅스	Light Plate Leggings
포쿠본 레더 팬츠	Pokubu Leather Pants
드레이크 레더 레깅스	Drake Leather Leggings
실버 플레이트 레깅스	Silver Plate Leggings
카프리선 팬츠	Cafrisun Pants
디오 팬츠	Dio Pants
디오 레더 팬츠	Dio Leather Pants
디오 체인 팬츠	Dio Chain Pants
트레시 팬츠	Thresh Pants
트레시 레더 팬츠	Thresh Leather Pants
트레시 체인 팬츠	Thresh Chain Pants
세스타스 팬츠	Sestas Pants
세스타스 레더 팬츠	Sestas Leather Pants
세스타스 체인 팬츠	Sestas Chain Pants
드라트 팬츠	Drat Pants
드라트 레더 팬츠	Drat Leather Pants
드라트 플레이트 레깅스	Drat Plate Leggings
아스턴 팬츠	Aston Pants
아스턴 레더 팬츠	Aston Leather Pants
아스턴 플레이트 레깅스	Aston Plate Leggings
데비 팬츠	Debby Pants
데비 레더 팬츠	Debby Leather Pants
데비 플레이트 레깅스	Debby Plate Leggings
프리마 팬츠	Prima Pants
프리마 레더 팬츠	Prima Leather Pants
프리마 플레이트 레깅스	Prima Plate Leggings
바인 팬츠	Vine Pants
소울 체이서 팬츠	Soul Chaser Pants
본 스커트	Bone Skirt
쉐이드 스커트	Shade Skirt
히드라 트라우저	Hydra Trousers
라이트 아머	Light Armor
퀼트 아머	Guilt Armor
레더 아머	Leather Armor
